-0.00041000,0.00061000,-0.00071000,-0.00163000,-0.00071000,0.00234000,0.00020000,0.00041000,-0.00265000,-0.00020000,-0.00092000,0.00092000
-0.00010000,0.00010000,0.00061000,0.00010000,-0.00071000,-0.00031000,-0.00061000,-0.00183000,-0.00285000,-0.00061000,0.00051000,-0.00010000
-0.00194000,-0.00082000,-0.00122000,-0.00173000,-0.00010000,0.00143000,-0.00031000,-0.00041000,-0.00031000,-0.00163000,-0.00122000,0.00000000
-0.00621000,-0.00163000,0.00153000,-0.00163000,0.00031000,-0.00031000,-0.00051000,-0.00041000,-0.00082000,-0.00020000,-0.00071000,0.00051000
-0.00061000,-0.00255000,0.00082000,-0.00621000,0.00041000,0.00051000,-0.00122000,-0.00031000,-0.00061000,-0.00173000,-0.00010000,0.00031000
-0.00132000,0.00010000,0.00112000,0.00051000,0.00163000,-0.00163000,-0.00061000,0.00051000,-0.00560000,0.00051000,-0.00071000,0.00010000
-0.01477000,0.00000000,0.00071000,0.00041000,0.00020000,-0.00112000,-0.00143000,-0.00153000,-0.00173000,-0.00020000,0.00020000,-0.00051000
-0.00458000,-0.00082000,0.00010000,0.00061000,0.00020000,-0.00061000,-0.00173000,-0.00020000,-0.00163000,-0.00092000,0.00031000,0.00000000
0.00051000,-0.00958000,-0.00092000,-0.00020000,-0.00397000,0.00041000,0.00010000,-0.00265000,-0.00010000,0.00010000,0.00010000,0.00082000
0.00102000,0.00061000,-0.00031000,-0.00041000,0.00000000,0.00010000,0.00031000,-0.00082000,-0.01080000,-0.00061000,-0.00031000,-0.00295000
0.00010000,0.00020000,-0.00031000,-0.00071000,-0.00051000,-0.00041000,-0.00041000,0.00071000,0.00153000,0.00102000,-0.00153000,-0.00591000
0.00031000,0.00132000,0.00051000,-0.00061000,-0.00010000,0.00031000,0.00010000,-0.00010000,-0.00132000,0.00010000,0.00061000,0.00051000
